Time [s],Trigger,X-Axis_PP-3 [psi],X-Axis_PP-4 [psi],Y-Axis_PP-1 [psi],Y-Axis_PP-2 [psi]
-0.0005465,0.0585938,0.00610352,-0.00762939,0.0274658,-0.00152588
-0.000546,0.06073,0.0152588,-0.012207,0.00762939,0.012207
-0.0005455,0.0576782,-0.0106812,-0.00915527,0.0183105,-0.00457764
-0.000545,0.0634766,0.0167847,-0.0137329,0.0213623,-0.00915527
-0.0005445,0.0582886,-0.00762939,-0.0213623,0.012207,0.00610352
-0.000544,0.0592041,-0.00762939,-0.00457764,0.00610352,0.00762939
-0.0005435,0.06073,0.0137329,-0.0259399,0.0427246,0.00457764
-0.000543,0.0585938,-0.00305176,-0.00457764,0.0167847,0.00915527
-0.0005425,0.0585938,0.00305176,0.00610352,0.0183105,0.0183105
-0.000542,0.0598145,0.00762939,-0.0198364,0.0259399,-0.00305176
-0.0005415,0.0585938,0.00457764,-0.0152588,0.00305176,0.00762939
-0.000541,0.0585938,-0.00762939,-0.00610352,0.0259399,0.0198364
-0.0005405,0.057373,0.0152588,-0.0198364,0.0167847,-0.00457764
-0.00054,0.06073,0.0106812,-0.00305176,0.0335693,0.0183105
-0.0005395,0.0588989,0,-0.00610352,0.00762939,-0.00610352
-0.000539,0.057373,0.0213623,-0.0167847,0.0167847,-0.0137329
-0.0005385,0.0585938,0.00915527,-0.0137329,-0.00457764,-0.00915527
-0.000538,0.0598145,0.0167847,0.00762939,0.0152588,0.0167847
-0.0005375,0.0595093,-0.00457764,-0.00305176,0.00152588,-0.00457764
-0.000537,0.0613403,0.00305176,-0.00152588,0.00610352,0.00610352
-0.0005365,0.0585938,0.0152588,-0.0106812,0.0274658,-0.00457764
-0.000536,0.0588989,-0.00610352,0.00457764,0.0274658,0.00457764
-0.0005355,0.0601196,-0.0244141,0.00305176,0.0137329,0.00762939
-0.000535,0.0570679,-0.00457764,-0.0183105,0.0350952,0.00152588
-0.0005345,0.0595093,0.0198364,0.0183105,0.0305176,0.0167847
-0.000534,0.06073,0.00915527,0.0106812,0.0259399,0
-0.0005335,0.0570679,-0.00457764,-0.00610352,0.00915527,-0.0137329
-0.000533,0.0585938,0.012207,-0.00457764,-0.00762939,0.0152588
-0.0005325,0.0604248,-0.00762939,-0.0244141,0.0335693,0.0244141
-0.000532,0.057373,0.0137329,-0.0152588,0.00305176,0.0213623
-0.0005315,0.0610352,0.0152588,-0.012207,-0.00610352,0.00305176
-0.000531,0.0616455,0.0274658,-0.0167847,0.0350952,0.00762939
-0.0005305,0.0619507,0.012207,-0.0106812,0.0137329,0.0213623
-0.00053,0.0585938,0.0183105,-0.00762939,0.00457764,0.0183105
-0.0005295,0.0598145,0.0305176,-0.012207,0.0274658,0.00152588
-0.000529,0.0610352,0.0167847,-0.00762939,0.0167847,-0.00762939
-0.0005285,0.0631714,-0.00915527,0,0.038147,0.0335693
-0.000528,0.0598145,0.00610352,-0.0198364,0.0244141,0.00610352
-0.0005275,0.0631714,0.0320435,0.012207,0.0442505,-0.012207
-0.000527,0.0610352,0.0198364,-0.0167847,0.0335693,-0.00457764
-0.0005265,0.0585938,-0.00152588,-0.0305176,0.0305176,0
-0.000526,0.0576782,0,-0.0167847,0.0350952,0.0137329
-0.0005255,0.0595093,0.00457764,0,0.0411987,-0.00915527
-0.000525,0.0595093,-0.0305176,-0.0259399,0.0305176,0.0152588
-0.0005245,0.0604248,0.00762939,-0.012207,0.0183105,0.0137329
-0.000524,0.0616455,0.00762939,0.00457764,0.0305176,0.0106812
-0.0005235,0.0598145,0.0244141,0.00152588,0.0366211,0.00305176
-0.000523,0.06073,0.00762939,0.00152588,0.0320435,0.0152588
-0.0005225,0.0592041,-0.00610352,-0.0213623,0.0289917,0.0137329
-0.000522,0.0598145,0.00610352,-0.0152588,0.0213623,0.00305176
-0.0005215,0.0610352,-0.00762939,0.00610352,0.0228882,-0.0183105
-0.000521,0.0595093,-0.00305176,-0.012207,0.0198364,-0.0106812
-0.0005205,0.0610352,0.00762939,-0.0244141,0.00762939,0.0137329
-0.00052,0.0592041,0.00457764,-0.0228882,0.038147,0.0198364
-0.0005195,0.0598145,-0.012207,-0.00610352,0.00915527,0.0152588
-0.000519,0.057373,-0.0244141,-0.0137329,0.0320435,-0.00762939
-0.0005185,0.0598145,0.0167847,-0.00305176,0.00305176,0.0106812
-0.000518,0.0582886,0.0289917,-0.00915527,0.012207,0.00457764
-0.0005175,0.06073,0.00610352,0.012207,0.0213623,0.0320435
-0.000517,0.0592041,0.00152588,-0.0289917,0.0289917,0.0213623
-0.0005165,0.0598145,0.0442505,0.00762939,0.0198364,0.0198364
-0.000516,0.0579834,0.0350952,-0.00762939,0.0274658,0.00457764
-0.0005155,0.0588989,0.0137329,0.0106812,0.00762939,0.0106812
-0.000515,0.0585938,0.00457764,-0.0137329,0.0183105,0.0335693
-0.0005145,0.0582886,0.0228882,-0.0198364,0.0335693,0.0244141
-0.000514,0.0616455,-0.00610352,-0.0213623,0.0274658,0.0213623
-0.0005135,0.06073,0.0274658,-0.0137329,0.0442505,0.0320435
-0.000513,0.0592041,0.00610352,-0.0106812,0.00305176,0.00152588
